,Gender,10percentage,12graduation,12percentage,CollegeTier,collegeGPA,CollegeCityTier,GraduationYear,English,Logical,Quant,Domain,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Degree_B.Tech/B.E.,Degree_M.Sc. (Tech.),Degree_M.Tech./M.E.,Degree_MCA,Salary
728,0,75.6,2009,81.3,2,76.56,0,2017,555,415,515,0.793580615,1.1336,-0.1206,-1.527,-0.4879,1.4386,1,0,0,0,100000
729,1,69.7,2006,82.02,2,70.2,0,2010,665,495,514,0.824666401,-0.5719,0.8128,-0.344,-0.9953,0.5024,1,0,0,0,775000
730,1,75,2009,60,2,56,1,2014,640,570,635,0.649389715,0.2718,1.5444,0.9322,-0.4879,0.0973,1,0,0,0,250000
731,1,81,2006,71,2,68,0,2011,575,544,524,0.864685413,0.0464,0.3448,-1.0697,-0.1727,0.0284,1,0,0,0,350000
732,1,90.6,2006,91.3,2,78.56,0,2010,485,495,535,0.563267824,0.9737,0.8128,0.2366,0.8848,-0.1295,1,0,0,0,450000
733,1,82.33,2008,76.89,2,55.89,1,2011,515,615,695,0.916869961,-0.4173,0.6568,-0.0537,-0.9953,-1.8673,1,0,0,0,470000
734,1,88,2011,82,2,68.11,0,2015,475,540,450,0.622642916,-0.159,-0.4536,-0.2974,0.5262,-1.0524,1,0,0,0,300000
735,1,72,2009,68.4,2,67.84,0,2014,650,470,680,0.998876108,-0.159,-0.1206,-0.1437,-1.6289,0.2889,1,0,0,0,315000
736,1,58.83,2008,66,2,70,0,2015,440,570,345,0.144789889,-0.4463,0.0459,-1.0659,1.6672,-1.244,0,0,0,1,180000
737,1,75.36,2007,60.16,2,57.81,0,2011,375,445,335,0.376059587,-0.881,0.0328,0.8171,-0.9953,0.0284,1,0,0,0,280000
738,1,80.2,2007,91.9,2,62,0,2011,465,425,465,0.901489571,1.592,0.0328,-0.0537,-0.6428,0.3444,1,0,0,0,290000
739,0,71,2009,64,2,73.4,1,2013,490,400,500,0.356536488,1.2772,0.3789,0.7785,-0.995,0.0973,1,0,0,0,210000
740,1,67,2005,73,2,71.7,0,2011,425,495,635,0.3423149,1.4374,0.8128,0.5269,0.2973,1.4502,1,0,0,0,305000
741,1,86.6,2009,78.4,2,68.5,1,2013,380,410,515,0.080055281,-0.159,0.7119,-0.6048,0.5262,1.0554,1,0,0,0,240000
742,1,79.8,2007,81.2,2,80.26,0,2012,515,545,665,0.942116551,-0.881,0.3448,-1.6502,0.26793,-0.1295,1,0,0,0,490000
743,1,86.6,2007,77.6,2,65.57,0,2011,605,545,565,0.862625475,-0.881,0.5008,0.2366,-0.5253,-0.2875,1,0,0,0,645000
744,1,82,2008,87,2,70,1,2012,675,625,595,0.704090412,1.5533,1.7488,1.8331,-1.671,0.1864,1,0,0,0,95000
745,0,79.28,2007,69.33,2,67.13,1,2011,475,545,455,0.488347977,1.0768,0.7816,0.73,0.8457,1.6082,1,0,0,0,180000
746,1,74,2008,64,2,72,0,2013,560,540,535,0.23780284,0.99,0.2124,0.9322,0.1459,1.0554,1,0,0,0,525000
747,1,80.6,2007,77.6,2,68,1,2011,515,445,465,0.538386893,-0.1082,0.3448,1.1074,1.0024,0.3444,1,0,0,0,500000
748,1,61.6,2007,61.2,2,67.08,0,2012,405,460,450,0.842248322,1.2772,-0.2871,2.008,0.1459,0.8637,1,0,0,0,170000
749,1,90.3,2010,94.2,2,79.9,0,2014,510,460,440,0.725984148,-0.3027,-1.1196,0.3174,0.653,-0.2859,1,0,0,0,225000
750,0,85.2,2010,80.2,2,85,0,2014,535,480,500,0.605533552,0.2718,1.0449,1.2396,-1.7556,-0.0943,1,0,0,0,300000
751,1,70,2009,76,2,60,0,2014,385,445,320,0.23780284,1.4208,1.7109,1.547,-1.1218,0.8637,1,0,0,0,215000
752,0,83,2009,87.5,2,81,1,2013,475,515,464,0.622642916,-0.3027,-0.2871,0.9322,-2.3895,-0.0943,1,0,0,0,310000
753,0,77.4,2010,74.8,2,74.3,1,2014,345,560,485,0.486747008,0.7027,1.2114,0.3174,0.3995,0.6721,1,0,0,0,200000
754,1,76.5,2010,74.5,2,60,0,2014,455,520,405,0.684565068,0.4155,0.2124,0.4711,-0.4879,0.2889,1,0,0,0,185000
756,0,80,2008,82.4,2,74.27,0,2012,445,485,655,0.450876584,-1.9629,-0.7473,0.5269,0.7673,0.3444,1,0,0,0,350000
757,1,55,2007,46,2,64.56,1,2013,560,340,235,0.563267824,0.1282,-0.7866,-0.6048,0.7798,0.0973,0,0,0,1,105000
758,1,67.2,2008,74.88,2,66.67,1,2011,385,415,385,0.376059587,-0.881,-1.0593,-0.6343,1.0024,0.6603,1,0,0,0,300000
759,1,79.8,2008,78.2,2,69.8,0,2012,425,625,485,0.229481755,-0.881,-0.0842,-0.598,-0.5253,-0.9194,1,0,0,0,420000
760,1,78.8,2009,68.33,2,62,0,2011,535,455,335,0.930370607,-0.7264,-0.2793,0.9623,-0.7603,-1.0774,1,0,0,0,325000
761,1,88.8,2009,84.67,2,70,1,2013,675,605,620,0.985461394,-0.0154,1.0449,0.4711,1.0333,1.0554,1,0,0,0,305000
762,1,77,2010,65,2,57.25,1,2014,720,555,645,0.765673581,-1.5953,-0.7866,-1.2196,-0.2344,-0.6692,1,0,0,0,250000
763,0,84.2,2010,87.2,1,71,0,2014,675,495,560,0.20739217,-0.8772,0.5454,1.0859,-1.7556,0.4805,1,0,0,0,300000
764,0,85.06,2007,76.5,1,83.5,1,2014,605,640,695,0.991397584,-1.5953,-1.1196,-1.0659,-1.2486,-0.2859,0,0,1,0,350000
765,1,89,2008,91,2,87.4,1,2012,520,585,485,0.901489571,-0.6491,0.1888,0.672,-0.4371,-1.0774,1,0,0,0,350000
766,0,73,2009,60,2,73,0,2013,440,400,270,0.991397584,-0.0154,0.3789,0.3174,0.5262,-0.8608,1,0,0,0,300000
767,1,88.5,2009,81.6,2,71.6,0,2013,465,560,810,0.842248322,0.99,0.2124,-0.4511,-1.6289,-1.0524,1,0,0,0,340000
769,1,87.2,2009,70.6,2,75.1,0,2013,615,590,760,0.684565068,-0.159,0.2124,1.547,1.1601,-0.2859,1,0,0,0,200000
770,1,82,2008,76,2,67,0,2012,710,655,500,0.843123727,1.4208,0.3789,-0.2974,-0.6147,0.4805,1,0,0,0,285000
771,1,72.5,2004,58.6,2,84.4,0,2010,595,365,705,0.910770164,-0.5719,0.5008,-1.0697,-0.5253,0.1864,1,0,0,0,1300000
772,1,65.8,2003,67.6,2,66.35,0,2013,475,485,535,0.622642916,-0.7335,-0.4536,0.4711,0.2727,0.4805,0,0,0,1,320000
773,0,88.88,2008,71,2,87,0,2012,365,475,485,0.824666401,1.4374,1.4368,-0.598,-1.7004,0.1864,1,0,0,0,160000
774,1,73.5,2009,71.8,2,83.9,1,2013,535,605,665,0.998876108,1.4208,1.0449,0.6248,0.2727,1.247,1,0,0,0,340000
775,1,71.4,2010,60.4,2,71,1,2014,665,530,520,0.338786347,-1.308,-0.7866,0.6248,-0.3612,-0.2859,1,0,0,0,325000
776,1,76,2008,64,2,68,0,2013,490,470,390,0.600057182,0.8463,0.3789,0.4711,0.0192,1.4386,1,0,0,0,210000
777,1,77.8,2010,77,2,66.03,0,2014,570,375,495,0.493596387,-0.159,0.5454,-1.2196,0.1459,-2.0105,1,0,0,0,315000
778,1,65.2,2008,62.2,2,75.6,0,2012,425,620,665,0.995464719,1.1336,0.0459,1.2396,-0.4879,-0.0943,1,0,0,0,480000
779,0,76.8,2009,85.36,2,69,0,2012,454,585,325,0.987207086,0.1623,0.3448,-0.344,-0.17277,0.6603,1,0,0,0,3500000
780,1,96,2010,87,2,74.86,0,2014,630,565,655,0.974396113,-0.4463,1.2114,0.6248,0.2727,0.6721,1,0,0,0,325000
781,1,89,2010,80,2,70,0,2014,290,425,270,0.193768442,-0.5899,-0.6201,-1.0659,0.1459,0.8637,1,0,0,0,70000
782,1,74.4,2006,70.6,2,62.93,1,2010,605,475,555,0.694479328,0.0464,-0.2793,-0.7794,0.0623,0.0284,1,0,0,0,300000
783,1,75,2009,79,2,78.5,0,2013,630,520,180,0.649389715,-2.0262,-0.4536,-0.9122,0.653,-0.6692,1,0,0,0,190000
784,1,61.2,2009,50,2,69.48,1,2013,535,555,530,0.783303537,1.4208,0.8784,1.2396,-0.4879,-0.6692,1,0,0,0,910000
785,0,65,2005,60,2,65,0,2010,425,495,395,0.450876584,0.9737,0.0328,0.8171,-1.2303,0.3444,1,0,0,0,300000
786,0,75.4,2008,68.7,2,66,1,2012,570,485,470,0.765673581,-0.1855,0.9688,-0.1988,1.2374,0.1864,1,0,0,0,100000
787,1,84.2,2006,87.4,2,77,0,2010,305,435,295,0.229481755,0.8192,0.5008,0.8171,-0.6428,-0.1295,1,0,0,0,570000
789,0,81.4,2008,79.6,2,72.4,1,2013,595,565,570,0.868736585,0.2718,0.2124,-0.9122,-1.5021,0.0973,1,0,0,0,310000
790,1,68.66,2007,61.8,2,65.72,0,2013,430,350,450,0.486747008,0.1282,1.0449,0.6248,1.794,1.247,1,0,0,0,120000
791,1,65.56,2008,55.54,2,72.39,1,2012,405,525,525,0.843123727,-0.1082,-0.0842,-0.2714,-0.1727,-0.6035,1,0,0,0,350000
792,1,86.7,2009,90.2,2,84.3,1,2013,660,640,560,0.338786347,-0.5899,-0.4536,-0.1437,1.5404,0.0973,1,0,0,0,335000
793,1,63.2,2004,68.89,2,76.2,0,2011,495,505,505,0.916869961,0.0464,-0.1232,-0.1988,-1.1128,-0.2875,0,0,0,1,445000
794,1,93.6,2006,74,2,68,0,2012,605,465,395,0.704090412,0.9737,1.1248,1.8331,-0.52527,0.7788,0,0,0,1,385000
795,1,62.2,2009,68.2,2,60.12,0,2013,545,450,340,0.694479328,0.2718,0.5454,0.9322,0.653,-0.0943,1,0,0,0,180000
796,1,68.2,2010,67.4,2,66,0,2015,440,400,355,0.356536488,0.7027,0.0459,0.7785,1.6672,-0.0943,1,0,0,0,300000
797,1,84.4,2007,84.4,2,88.6,0,2012,515,425,535,0.958682017,1.592,0.3448,-0.9245,-1.5828,-0.643,1,0,0,0,440000
798,1,76,2009,79,2,68.66,0,2014,545,605,680,0.953899775,-0.3027,1.3779,1.547,0.7798,1.0554,1,0,0,0,425000
799,1,77.85,2010,64.8,2,66.6,0,2014,450,440,595,0.649389715,0.8463,0.2124,-0.7585,1.9207,0.6721,1,0,0,0,180000
800,1,73,2009,66,2,70,0,2014,315,530,380,0.356536488,1.9953,0.8784,0.4711,-1.6289,0.4805,1,0,0,0,195000
801,0,78,2007,82,2,71,0,2011,524,525,445,0.704090412,-0.2628,0.8128,0.8171,-1.1128,-0.1295,1,0,0,0,325000
802,1,83.3,2009,82.3,2,70.1,1,2013,630,510,535,0.493596387,-0.0154,-0.6201,0.3174,-1.5021,-1.8189,1,0,0,0,450000
803,1,66.6,2008,58.2,2,66.7,0,2013,465,525,470,0.864685413,-0.3027,0.0459,0.9322,0.9066,1.247,1,0,0,0,280000
804,1,72,2008,68,2,68,0,2012,485,385,365,0.635978756,1.4374,1.1248,-0.4891,0.17983,0.3444,1,0,0,0,475000
805,1,83,2009,76,2,65,0,2014,545,385,470,0.23780284,-0.8772,0.7119,1.0859,-0.995,1.0554,1,0,0,0,250000
806,1,69,2006,66,2,70,0,2013,430,520,590,0.080055281,0.2718,1.0449,1.2396,-0.6147,0.4805,0,0,0,1,240000
807,0,56.78,2007,48.34,2,66.34,0,2011,335,454,525,0.190153406,-0.5719,0.0328,-0.1988,-1.1128,0.6603,1,0,0,0,200000
808,1,78.4,2008,81.5,2,71.8,0,2012,375,425,475,0.538386893,-0.2628,0.6178,0.3817,1.58993,-0.2875,1,0,0,0,180000
809,1,73,2009,54.2,2,66.55,0,2013,430,420,545,0.486747008,0.4155,1.3779,0.6248,0.3995,0.6721,1,0,0,0,120000
810,1,83.04,2006,72.6,2,64.95,0,2013,535,375,375,0.279258512,1.4208,0.8784,-0.2974,0.7798,0.6721,0,0,1,0,100000
811,1,91,2008,92.7,2,72,1,2012,425,555,565,0.694479328,1.1283,1.5928,0.2366,0.2973,-0.0506,1,0,0,0,360000
812,1,71.1,2009,71.01,2,69,0,2012,475,455,575,0.714529363,0.2009,0.2668,0.164,0.4148,0.0284,1,0,0,0,255000
813,1,90.6,2009,94.3,2,84,0,2013,520,460,620,0.493596387,0.99,0.5454,0.7785,-1.6289,0.6721,1,0,0,0,300000
814,1,76.53,2009,85,2,58,1,2012,335,385,325,0.229481755,0.9737,-0.2012,0.0552,0.5323,-0.7615,1,0,0,0,200000
815,1,86.4,2010,82.8,2,70,0,2014,590,500,530,0.649389715,0.8463,0.7119,0.9322,-0.3612,1.247,1,0,0,0,335000
816,0,87,2008,91,2,74,1,2012,625,605,555,0.649389715,0.5591,1.0449,1.0859,-1.6289,0.6721,1,0,0,0,350000
817,1,78.8,2007,53.8,2,67.72,0,2012,505,435,515,0.24545566,0.3555,0.5008,0.672,-0.2902,-0.9194,1,0,0,0,400000
818,1,59,2008,60,2,67,0,2013,485,645,515,0.765673581,-1.1644,-0.6201,-1.527,-0.8682,-2.5853,1,0,0,0,300000
819,1,74.83,2010,87.4,2,69.31,0,2014,395,530,545,0.622642916,0.2718,-0.7866,1.7007,-0.6147,0.8637,1,0,0,0,350000
820,1,80,2009,79,2,75,0,2013,415,365,310,0.080055281,-1.1644,0.8784,1.3933,0.653,-0.6692,1,0,0,0,130000
821,0,91,2008,86,2,87.5,0,2012,445,535,455,0.525922584,-1.3447,0.5008,0.672,0.6204,0.5024,1,0,0,0,315000
822,1,84,2010,89.5,2,75.86,0,2014,570,445,405,0.725984148,1.2772,1.3779,0.3174,-2.136,0.2889,1,0,0,0,105000
823,1,59.3,2006,60.4,2,67.1,0,2011,495,635,405,0.600057182,1.4374,0.5008,1.3977,0.2973,-0.2875,1,0,0,0,435000
824,0,73.2,2007,59,2,65.4,0,2011,535,525,555,0.81941653,0.51,-1.3713,-1.0697,-1.1128,-0.1295,1,0,0,0,120000
825,1,78.6,2009,70.2,2,73.04,0,2013,435,555,565,0.488347977,-0.4173,-0.7473,0.8171,-0.5253,-0.7615,1,0,0,0,420000
826,1,82.4,2009,72.4,2,70.94,0,2013,555,460,665,0.053160305,-1.308,-0.7866,-0.9122,0.5262,-0.2859,1,0,0,0,180000
827,1,86.33,2007,86.8,2,68.52,1,2011,475,485,554,0.942116551,-0.4173,-1.9953,0.672,1.2374,-0.9194,1,0,0,0,360000
828,1,64.83,2003,56.6,2,63.24,0,2009,454,455,615,0.538386893,0.2009,0.5008,0.8171,0.4148,0.3444,1,0,0,0,195000
829,1,72.1,2007,77.2,2,68.9,1,2013,405,565,475,0.486747008,1.3686,0.6009,0.7785,-1.2486,1.0031,1,0,0,0,120000
830,1,88,2008,77.2,2,65.02,0,2012,585,635,635,0.0587928,0.3941,0.9688,1.1074,0.1798,0.0284,1,0,0,0,350000
831,1,83.3,2009,81,2,71.72,0,2014,755,555,605,0.44619825,-0.159,0.3789,0.01,-0.7415,-0.8608,1,0,0,0,320000
832,1,61.1,2007,60,2,65.62,0,2013,360,470,195,0.450876584,0.4155,-0.1206,0.3174,-0.2344,-0.6692,1,0,0,0,280000
833,1,82,2008,91.9,2,63,0,2012,495,505,625,0.925140312,0.3555,0.3002,-0.824,-0.99527,-0.1295,1,0,0,0,255000
834,0,85,2010,83,2,79.98,0,2014,580,520,500,0.622642916,0.4155,1.0449,1.2396,-0.6147,0.2889,1,0,0,0,310000
835,1,74,2008,65.4,2,68,0,2013,500,580,665,0.765673581,0.2718,0.5454,-0.4511,-0.7415,-0.2859,1,0,0,0,200000
836,1,86.83,2009,75.2,1,67.7,0,2013,685,510,705,0.124502074,-0.8772,0.8784,-0.2974,0.653,-0.0943,1,0,0,0,415000
837,1,76.5,2010,66.77,2,69.1,0,2014,360,495,430,0.493596387,-0.8772,-1.6191,-1.8344,0.3995,-1.244,1,0,0,0,100000
838,1,72,2008,62,2,68.8,0,2013,360,355,250,0.563267824,1.4208,0.3789,0.1637,0.3995,-0.6692,1,0,0,0,200000
839,1,78.8,2008,71.6,2,73,0,2013,790,570,750,0.995265706,0.2718,1.2114,0.1637,-0.995,0.4805,1,0,0,0,315000
840,1,70.8,2008,73,2,78.9,0,2012,370,645,695,0.952245573,-1.0208,-1.1196,-0.7585,1.5404,-2.0105,1,0,0,0,220000
841,1,94,2010,86,2,82,0,2014,615,495,500,0.598280691,0.99,0.0459,-0.6048,-0.995,-0.2859,1,0,0,0,200000
843,0,84.5,2007,82.66,2,78.7,0,2011,545,445,525,0.229481755,1.1283,1.4368,-0.344,-0.2902,0.5024,1,0,0,0,345000
844,1,93.4,2006,89.08,2,80.27,0,2010,465,385,625,0.600057182,0.9737,0.6568,0.8171,-0.9953,0.1864,1,0,0,0,415000
845,1,73.5,2009,71,2,71,0,2013,570,545,500,0.8295846,0.99,0.8784,0.6248,-1.5021,0.6721,1,0,0,0,325000
846,1,64.6,2009,62.2,2,78,1,2014,520,420,415,0.276047228,0.7027,1.3779,0.1637,0.9066,-0.2859,0,0,0,1,175000
847,1,86.4,2009,93.6,1,72.3,0,2013,800,570,500,0.986525019,-2.0262,-1.1196,-0.7585,-0.2344,-0.4776,1,0,0,0,600000
848,1,83.2,2008,72.3,2,68,1,2013,545,620,515,0.960903087,0.4155,1.0449,1.3933,-0.4879,-0.0943,1,0,0,0,350000
849,0,87.6,2006,72.2,1,77,1,2010,465,605,465,0.229481755,-1.0355,-1.0593,-1.0697,0.4148,-0.4455,1,0,0,0,730000
850,0,81,2007,77,2,82.9,0,2011,445,505,525,0.563267824,0.3555,-0.5913,-0.6343,-0.9953,0.0284,1,0,0,0,380000
851,0,71,2005,74,1,88,0,2011,505,385,475,0.843123727,0.3555,-0.7473,-1.0697,-2.0529,-1.3934,0,0,1,0,450000
852,0,58,2008,67,2,73,0,2014,535,425,485,0.842248322,0.7027,0.2124,0.1637,-0.995,0.0973,0,0,0,1,180000
853,1,85,2007,80,2,68.04,0,2012,650,485,720,0.111660963,0.8192,-0.4353,-1.2148,0.6498,-0.2875,1,0,0,0,240000
854,1,66,2006,63,2,53.01,1,2012,450,595,500,0.413838256,-0.4173,-0.2793,-0.1988,0.8848,0.3049,1,0,0,0,85000
855,1,88.8,2009,93,2,88,1,2013,650,610,385,0.901489571,0.1282,0.3789,0.01,0.0192,-0.4776,1,0,0,0,380000
859,1,86,2007,72.8,1,65.89,1,2013,650,640,795,0.20739217,-0.4463,0.0459,0.3174,-0.3612,-1.0524,1,0,0,0,325000
860,0,85,2009,84.17,2,69.98,0,2012,495,615,494,0.910770164,0.5591,-0.2871,0.4711,-1.7556,-0.6692,1,0,0,0,330000
861,1,73,2009,79,2,75,0,2013,440,315,430,0.538386893,-0.4463,-1.9521,-0.4511,-0.4879,-1.4356,1,0,0,0,240000
862,1,78,2007,63,2,68.1,0,2011,454,535,464,0.765673581,-1.0355,0.8128,-1.2148,1.0024,1.6082,1,0,0,0,520000
863,0,87,2008,77,2,69,0,2013,675,510,545,0.080055281,0.8463,1.7109,0.4711,-1.5021,0.8637,1,0,0,0,100000
864,0,74.83,2008,68.67,2,72.3,1,2013,555,475,475,0.864685413,0.3555,0.2668,-0.2714,-0.2902,-0.1295,1,0,0,0,420000
865,1,92.83,2010,91.9,2,78.15,0,2014,545,505,500,0.793580615,1.8517,1.0449,1.8543,-2.136,1.0554,1,0,0,0,200000
866,0,89.6,2008,92.1,2,73.78,1,2012,505,385,525,0.635978756,-0.1082,-0.4353,-0.344,-0.76027,-0.0506,1,0,0,0,335000
867,1,75,2007,84,2,83.86,0,2012,625,575,725,0.995464719,-0.4173,0.0328,-2.1219,-1.34787,0.1864,1,0,0,0,420000
868,1,80.5,2008,68.4,1,67.95,1,2012,565,544,505,0.793580615,-0.1082,0.9688,-0.0537,0.7673,-0.2875,1,0,0,0,550000
869,1,84.2,2006,77.4,1,78.9,0,2011,505,555,495,0.694479328,-1.8083,0.1888,-0.6343,1.2374,-0.2875,1,0,0,0,405000
870,1,75,2008,85,2,74.53,0,2012,500,535,765,0.943272158,0.1282,1.2114,1.8543,-0.4879,0.6721,1,0,0,0,340000
871,0,94.2,2008,90.4,2,73,0,2012,665,645,595,0.884122512,-1.6538,0.8128,0.672,1.2374,0.7788,1,0,0,0,465000
872,1,76.2,2008,60.2,2,69.62,0,2013,590,535,695,0.525922584,0.1282,0.7119,0.1637,0.0192,-0.4776,1,0,0,0,195000
874,1,83.82,2008,92.67,2,94.5,0,2012,535,595,425,0.942116551,0.51,0.9688,0.8171,-1.23027,-0.1295,1,0,0,0,400000
875,0,66.8,2008,64.33,2,75.65,0,2014,450,580,385,0.744758354,-0.3027,1.3779,1.0859,-0.3612,1.0554,0,0,0,1,200000
876,0,90,2009,84,2,86,1,2013,660,440,620,0.942116551,0.7027,-0.6201,1.0859,-1.2486,0.2889,1,0,0,0,250000
877,1,78.2,2005,72.6,2,77,0,2010,575,455,545,0.635978756,-0.881,0.5008,0.0914,0.1798,-0.1295,1,0,0,0,680000
878,1,69,2008,71,2,55.45,0,2011,365,495,375,0.0587928,-0.4173,-0.7473,0.5269,0.7673,-0.2875,1,0,0,0,265000
879,1,83,2010,76,2,67,0,2014,360,415,445,0.649389715,-1.1644,-2.6181,-0.9122,-0.8682,-4.3099,1,0,0,0,240000
880,1,65,2005,75,2,62,0,2012,475,415,575,0.229481755,0.6646,1.4368,-1.7954,-1.4653,-0.0506,1,0,0,0,195000
881,1,52,2004,59,2,57,1,2011,485,365,214,0.124502074,-0.1082,-0.1232,0.9623,1.7074,-0.1295,1,0,0,0,255000
882,1,76,2008,63,2,83,0,2013,420,450,450,0.23780284,-0.4463,-0.2871,0.3174,0.653,0.6721,1,0,0,0,140000
883,1,74,2004,86.1,2,76,0,2010,405,385,585,0.635978756,-1.8083,-0.5913,-0.9245,-0.0552,0.3444,0,0,0,1,380000
884,0,77.57,2009,69,2,65.2,1,2013,535,510,485,0.600057182,-0.3027,-0.6201,0.4711,-0.1076,-1.6273,1,0,0,0,200000
885,1,74,2008,71,2,59.6,1,2014,465,650,655,0.978799293,-1.7389,0.0459,0.7785,-1.7556,1.0554,1,0,0,0,315000
886,1,78,2009,72,2,73.4,0,2013,490,470,500,0.053160305,0.4155,0.0459,0.3174,-1.5021,-1.0524,1,0,0,0,330000
887,1,51.2,2008,74,1,67.8,0,2013,525,485,560,0.744758354,-0.3027,1.0449,-0.2974,0.2727,0.8637,1,0,0,0,100000
888,1,66.46,2009,62.81,2,61.51,0,2013,430,340,370,0.842248322,1.5644,-0.1206,0.01,0.5262,0.6721,1,0,0,0,110000
889,1,82.67,2008,74.92,2,61.36,1,2014,580,470,425,0.911395278,1.7081,1.0449,1.547,0.0192,0.6721,1,0,0,0,215000
890,1,75,2002,61.7,2,79,0,2010,365,365,425,0.377551419,-0.4173,-0.1232,-0.0537,-0.4078,-0.1295,0,0,0,1,310000
891,0,61.4,2007,62.8,2,69.98,0,2011,375,505,435,0.3423149,-0.1082,0.6568,0.2366,-0.0552,0.0284,1,0,0,0,300000
892,1,69.4,2007,63,2,61,0,2013,375,465,265,0.023312168,-1.1901,0.1888,-1.5051,-1.34787,-0.7615,1,0,0,0,200000
893,1,90.24,2010,67.17,2,68.65,0,2014,430,435,405,0.3423149,0.99,-0.2871,0.01,0.9066,0.0973,1,0,0,0,400000
894,1,67,2008,65,2,75,0,2013,510,525,560,0.960903087,0.1282,0.2124,-0.2974,-0.4879,0.8637,1,0,0,0,300000
895,1,75.75,2007,74.4,2,80,0,2011,495,495,554,0.538386893,-2.1175,-0.5913,-0.344,0.7673,0.0284,1,0,0,0,480000
896,0,90.83,2008,95.1,2,84.01,0,2012,525,455,605,0.962217011,-0.7651,-0.4353,-1.6502,1.3255,-0.4455,1,0,0,0,300000
897,0,70,2008,68.83,2,69.1,0,2012,535,615,585,0.765673581,-0.7264,1.7488,0.3817,0.2973,0.5419,1,0,0,0,465000
898,1,49,2005,52,2,68,0,2011,545,375,565,0.704090412,-0.881,-1.5273,-0.344,0.5323,-0.9194,1,0,0,0,270000
899,1,89.1,2009,97.8,1,85.7,1,2013,500,595,870,0.960603252,-0.4463,-0.2871,-1.2196,1.0333,0.0973,1,0,0,0,320000
900,0,73.6,2006,67.4,2,72,0,2011,535,545,325,0.493596387,-0.159,-0.4536,0.7785,-0.3612,-1.0524,1,0,0,0,300000
901,1,52,2007,65,2,67.68,0,2012,425,365,275,0.074546265,-0.1855,-0.2793,-1.0697,0.7086,-1.0774,1,0,0,0,230000
902,0,81,2010,70,2,68,0,2014,525,505,465,0.486747008,0.8463,0.0459,0.6248,-0.995,1.0554,1,0,0,0,300000
903,1,83,2008,73,2,62,0,2014,580,580,650,0.864685413,0.4155,0.2124,1.2396,-0.8682,-0.0943,1,0,0,0,120000
904,1,87.33,2006,85.4,2,64,1,2010,405,485,445,0.694479328,-0.881,-2.7754,1.1074,-0.1727,-0.1295,1,0,0,0,130000
905,1,83.1,2008,87.1,2,68.75,1,2012,465,545,545,0.670743151,-0.5719,-0.4353,0.164,-0.7603,-1.7093,1,0,0,0,440000
907,1,63,2009,80,2,50,1,2012,315,345,295,0.376059587,-0.5332,-0.4353,-0.1988,1.5018,-1.2354,1,0,0,0,100000
908,1,91,2010,87.2,2,87.9,0,2015,440,425,560,0.338786347,-0.4463,1.2114,1.3933,-0.3612,0.0973,1,0,0,0,400000
909,1,72,2009,67,2,57.5,1,2013,520,570,515,0.842248322,1.1336,0.0459,0.6248,-1.6289,0.2889,1,0,0,0,400000
910,0,88.34,2007,71,2,90.44,0,2012,525,505,485,0.0587928,1.2828,1.2028,-0.7068,-0.6428,0.5024,1,0,0,0,340000
912,1,91.67,2007,74.2,2,63.8,0,2012,675,500,545,0.824666401,1.2828,0.9688,0.4906,0.6498,0.5024,1,0,0,0,240000
914,1,87.3,2008,94.2,2,79.51,1,2012,435,435,495,0.124502074,1.1283,1.7488,2.1234,-0.9953,1.0158,1,0,0,0,425000
915,0,74,2008,61,2,65,1,2012,554,375,475,0.24545566,-1.2287,0.6568,-0.6343,-0.26087,-0.1295,1,0,0,0,400000
916,1,75.2,2006,78,2,73,0,2013,405,510,430,0.356536488,0.2718,-0.2871,0.1637,-0.1076,-0.2859,0,0,0,1,190000
917,0,67,2008,61,2,75,0,2012,370,410,320,0.488347977,-0.159,-0.2871,-0.9122,-0.6147,-0.6692,1,0,0,0,120000
918,1,84,2009,76,2,76,1,2013,370,390,575,0.744758354,0.99,0.5454,1.0859,-0.3612,0.4805,1,0,0,0,320000
919,0,48.8,2005,48.8,2,72.5,1,2014,430,385,295,0.911395278,0.99,0.3789,1.0859,0.653,0.4805,1,0,0,0,450000
920,1,75.38,2007,72,2,68.75,1,2011,325,495,565,0.376059587,0.0464,-2.1513,1.1074,0.0623,0.8183,1,0,0,0,500000
921,1,84,2006,71,2,65,0,2010,615,534,415,0.942116551,-0.2628,1.2808,0.3817,-2.0529,-0.2875,1,0,0,0,445000
922,1,55.52,2005,60.05,2,61.95,1,2009,495,455,385,0.538386893,0.8192,0.6568,0.2366,0.0623,0.3444,1,0,0,0,500000
923,1,82,2008,79.6,2,68,0,2012,350,520,450,0.783303537,-0.5899,0.5454,0.1637,1.1601,1.247,1,0,0,0,205000
924,1,70,2010,70,2,70,0,2014,405,390,325,0.450876584,0.5591,-0.2871,1.3933,2.0475,-0.0943,1,0,0,0,170000
925,1,78.6,2010,80,2,69.29,0,2014,640,540,440,0.423951396,-0.0154,-0.9531,-1.3733,-0.3612,-1.244,1,0,0,0,305000
926,0,86.6,2007,92,2,77.96,1,2011,495,555,425,0.793580615,0.8192,0.8128,0.5269,-1.4653,0.1864,1,0,0,0,515000
